Best Fit,X Values
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2730, 4200]","[12, 0, 25, 3, 16]"
"[3092, 5560]","[9, 7, 17, 3, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2690, 3835]","[9, 0, 25, 4, 21]"
"[2455, 3500]","[0, 5, 25, 0, 30]"
"[2675, 4110]","[13, 0, 25, 0, 18]"
"[2777, 4940]","[6, 7, 14, 4, 30]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[3311, 5470]","[7, 6, 25, 4, 30]"
"[2620, 3650]","[10, 0, 20, 2, 30]"
"[3293, 5970]","[7, 8, 25, 4, 22]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[2785, 5510]","[12, 5, 25, 3, 0]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2640, 3910]","[12, 0, 15, 4, 30]"
"[2836, 4810]","[6, 6, 17, 4, 30]"
"[2726, 4110]","[0, 6, 25, 3, 30]"
"[3175, 5140]","[8, 5, 25, 2, 30]"
"[3104, 5270]","[12, 4, 17, 4, 30]"
"[2380, 4470]","[0, 10, 12, 2, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2669, 4270]","[7, 4, 17, 3, 30]"
"[2690, 5110]","[0, 10, 25, 3, 14]"
"[2864, 5050]","[14, 4, 14, 0, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2226, 3630]","[0, 6, 19, 3, 22]"
"[3102, 5600]","[7, 7, 25, 4, 18]"
"[2675, 4110]","[13, 0, 25, 0, 18]"
"[2798, 4140]","[7, 3, 25, 0, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2666, 4010]","[0, 6, 25, 2, 30]"
"[2939, 4940]","[0, 9, 25, 2, 30]"
"[2569, 4405]","[8, 4, 19, 3, 19]"
"[2575, 3630]","[11, 0, 20, 0, 30]"
"[3012, 5380]","[9, 7, 19, 0, 30]"
"[3244, 5665]","[13, 4, 25, 3, 19]"
"[2627, 4370]","[0, 7, 25, 4, 20]"
"[2946, 5400]","[10, 6, 25, 0, 16]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2890, 4495]","[13, 0, 25, 4, 17]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2667, 5410]","[8, 7, 25, 3, 0]"
"[2455, 4175]","[5, 5, 25, 0, 15]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[2675, 4110]","[15, 0, 16, 0, 30]"
"[3115, 4750]","[15, 0, 20, 4, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[3175, 5680]","[12, 5, 25, 2, 18]"
"[2846, 4935]","[7, 6, 25, 0, 21]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2618, 4620]","[0, 8, 25, 4, 16]"
"[2820, 4860]","[9, 5, 14, 4, 30]"
"[2559, 4920]","[11, 4, 25, 2, 0]"
"[3354, 5390]","[10, 4, 25, 4, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2889, 4450]","[7, 4, 25, 0, 30]"
"[2840, 3790]","[8, 0, 25, 4, 30]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[3416, 5810]","[10, 6, 25, 2, 30]"
"[2530, 4820]","[11, 5, 18, 0, 14]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2495, 4400]","[15, 0, 25, 2, 0]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2930, 4725]","[15, 0, 25, 3, 15]"
"[3053, 4980]","[12, 3, 19, 3, 30]"
"[2439, 4720]","[11, 4, 25, 0, 0]"
"[2525, 3930]","[15, 0, 13, 0, 30]"
"[2805, 4170]","[13, 0, 18, 3, 30]"
"[2755, 4215]","[12, 0, 25, 3, 17]"
"[3111, 5620]","[9, 6, 25, 4, 16]"
"[2615, 4600]","[15, 0, 25, 4, 0]"
"[2803, 5150]","[7, 8, 16, 0, 30]"
"[2273, 5020]","[7, 8, 18, 2, 0]"
"[2647, 4800]","[15, 2, 14, 4, 16]"
"[2602, 4925]","[6, 7, 17, 4, 17]"
"[3104, 5570]","[14, 4, 18, 4, 22]"
"[2962, 5530]","[9, 7, 25, 0, 16]"
"[2715, 4090]","[13, 0, 15, 4, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2637, 4120]","[0, 7, 25, 0, 30]"
"[2974, 5460]","[5, 9, 17, 3, 30]"
"[2700, 4125]","[13, 0, 25, 0, 19]"
"[2789, 4870]","[13, 4, 14, 0, 30]"
"[2790, 3910]","[10, 0, 21, 4, 30]"
"[3077, 5495]","[7, 7, 22, 4, 23]"
"[3055, 4940]","[8, 5, 25, 0, 30]"
"[2940, 4390]","[12, 0, 25, 4, 22]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2695, 4010]","[13, 0, 17, 2, 30]"
"[2780, 3690]","[8, 0, 25, 3, 30]"
"[2780, 4775]","[8, 5, 25, 0, 19]"
"[2303, 4170]","[8, 3, 25, 3, 0]"
"[2580, 4280]","[7, 5, 17, 0, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[2853, 5450]","[7, 8, 25, 0, 14]"
"[2487, 5110]","[8, 7, 25, 0, 0]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2930, 5135]","[10, 5, 25, 0, 19]"
"[2780, 4050]","[12, 0, 19, 3, 30]"
"[2714, 4805]","[0, 9, 25, 2, 21]"
"[2649, 5180]","[13, 4, 25, 1, 0]"
"[2453, 3180]","[0, 3, 25, 3, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[2350, 3375]","[9, 0, 25, 0, 17]"
"[2646, 5010]","[10, 6, 18, 0, 18]"
"[2754, 5300]","[12, 4, 25, 4, 0]"
"[2696, 4710]","[8, 6, 16, 0, 30]"
"[3041, 4910]","[5, 6, 25, 2, 30]"
"[3357, 5760]","[8, 7, 25, 2, 30]"
"[2740, 4030]","[12, 0, 17, 4, 30]"
"[2805, 4245]","[12, 0, 25, 3, 19]"
"[3087, 5200]","[6, 7, 25, 0, 30]"
"[2345, 4040]","[13, 0, 25, 2, 0]"
"[2780, 5075]","[12, 5, 17, 0, 23]"
"[2428, 5060]","[6, 8, 25, 0, 0]"
"[3329, 5780]","[13, 4, 25, 4, 20]"
"[2795, 3770]","[9, 0, 25, 2, 30]"
"[2936, 5110]","[8, 6, 16, 4, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2675, 4110]","[15, 0, 16, 0, 30]"
"[2350, 3450]","[12, 0, 14, 0, 30]"
"[3039, 4810]","[9, 4, 25, 0, 30]"
"[2695, 5250]","[10, 5, 25, 4, 0]"
"[2945, 4130]","[11, 0, 25, 2, 30]"
"[2777, 5210]","[8, 7, 14, 4, 24]"
"[2640, 4870]","[0, 10, 18, 3, 26]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[2450, 3030]","[6, 0, 25, 0, 30]"
"[2730, 3990]","[12, 0, 18, 3, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3190, 4945]","[15, 0, 25, 4, 23]"
"[3030, 4515]","[13, 0, 25, 3, 25]"
"[2377, 3920]","[0, 7, 15, 4, 30]"
"[2855, 4590]","[15, 0, 22, 3, 18]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2940, 4450]","[14, 0, 18, 4, 30]"
"[2471, 4785]","[10, 6, 14, 0, 19]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2855, 3870]","[9, 0, 25, 3, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[3194, 5640]","[5, 9, 25, 0, 30]"
"[2740, 4135]","[11, 0, 25, 4, 17]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[3477, 5960]","[8, 7, 25, 4, 30]"
"[2653, 4650]","[12, 3, 16, 3, 20]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[3120, 5400]","[11, 5, 17, 4, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2605, 3930]","[13, 0, 14, 3, 30]"
"[2420, 4220]","[14, 0, 25, 2, 0]"
"[2950, 4600]","[5, 5, 25, 2, 30]"
"[2809, 4990]","[0, 9, 25, 4, 20]"
"[2667, 4330]","[0, 7, 25, 3, 24]"
"[3552, 6140]","[9, 7, 25, 4, 30]"
"[2665, 4360]","[15, 0, 16, 4, 20]"
"[2980, 4620]","[14, 0, 25, 3, 20]"
"[2378, 4010]","[0, 8, 18, 0, 30]"
"[2362, 3955]","[0, 7, 25, 0, 19]"
"[3418, 5910]","[6, 8, 25, 4, 30]"
"[2450, 3030]","[6, 0, 25, 0, 30]"
"[2705, 3510]","[7, 0, 25, 3, 30]"
"[2695, 3900]","[0, 5, 25, 4, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[3296, 5610]","[10, 6, 25, 0, 30]"
"[2564, 5390]","[5, 9, 25, 2, 0]"
"[2805, 4925]","[9, 5, 25, 0, 17]"
"[2605, 5210]","[12, 5, 25, 0, 0]"
"[3175, 5140]","[8, 5, 25, 2, 30]"
"[2605, 5210]","[12, 5, 25, 0, 0]"
"[2412, 3985]","[0, 7, 25, 0, 21]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2646, 4545]","[5, 6, 25, 0, 19]"
"[3188, 4900]","[9, 3, 25, 4, 30]"
"[3117, 5815]","[9, 7, 25, 3, 15]"
"[3140, 4510]","[12, 0, 25, 4, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2925, 4530]","[15, 0, 25, 0, 22]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2635, 3800]","[0, 5, 25, 3, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2560, 3755]","[0, 5, 25, 3, 27]"
"[3230, 4770]","[14, 0, 25, 3, 30]"
"[2515, 3730]","[9, 0, 25, 4, 14]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[2889, 4450]","[7, 4, 25, 0, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2778, 5030]","[6, 8, 17, 0, 30]"
"[3043, 5370]","[5, 8, 19, 4, 30]"
"[2834, 5250]","[14, 4, 17, 2, 18]"
"[2921, 5385]","[10, 6, 25, 0, 15]"
"[3127, 5765]","[9, 7, 21, 4, 21]"
"[2945, 4535]","[14, 0, 25, 2, 21]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[2730, 4475]","[6, 5, 25, 0, 23]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2651, 4650]","[7, 6, 13, 3, 30]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[2944, 5095]","[11, 4, 21, 3, 21]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2490, 3310]","[6, 0, 25, 4, 22]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2575, 3700]","[0, 5, 25, 2, 30]"
"[3237, 5560]","[8, 7, 25, 0, 30]"
"[3304, 5690]","[14, 4, 18, 4, 30]"
"[3552, 6140]","[9, 7, 25, 4, 30]"
"[2730, 4820]","[11, 5, 14, 0, 30]"
"[2444, 5190]","[5, 9, 25, 0, 0]"
"[3204, 5030]","[8, 4, 25, 4, 30]"
"[2775, 4230]","[15, 0, 18, 0, 30]"
"[3111, 5485]","[8, 6, 25, 4, 19]"
"[2666, 4010]","[0, 6, 25, 2, 30]"
"[3290, 4870]","[14, 0, 25, 4, 30]"
"[2794, 4585]","[7, 4, 25, 3, 19]"
"[2871, 5220]","[9, 6, 25, 0, 16]"
"[2530, 3540]","[8, 0, 25, 3, 20]"
"[3044, 5170]","[12, 4, 17, 3, 30]"
"[2770, 5430]","[11, 5, 25, 4, 0]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[2615, 4600]","[15, 0, 25, 4, 0]"
"[2860, 5150]","[9, 5, 25, 3, 12]"
"[3042, 5500]","[7, 7, 25, 3, 18]"
"[2915, 3970]","[9, 0, 25, 4, 30]"
"[2683, 4595]","[0, 8, 25, 3, 21]"
"[3432, 5940]","[9, 7, 25, 2, 30]"
"[3398, 5580]","[15, 3, 25, 0, 30]"
"[2560, 4970]","[9, 5, 25, 3, 0]"
"[2590, 4150]","[14, 0, 15, 4, 22]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[2791, 4790]","[7, 6, 17, 2, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2550, 3690]","[12, 0, 18, 0, 30]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[2555, 3870]","[13, 0, 13, 3, 30]"
"[2723, 4500]","[10, 3, 25, 0, 18]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[3385, 5600]","[10, 5, 25, 3, 30]"
"[3326, 5550]","[8, 6, 25, 3, 30]"
"[2453, 3900]","[8, 3, 13, 3, 30]"
"[2610, 4870]","[0, 10, 25, 0, 18]"
"[2996, 5295]","[9, 6, 25, 0, 21]"
"[2939, 4940]","[0, 9, 25, 2, 30]"
"[3327, 5600]","[6, 7, 25, 4, 30]"
"[2618, 4970]","[13, 3, 25, 2, 0]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[2950, 4545]","[15, 0, 25, 0, 23]"
"[2660, 4925]","[10, 5, 17, 3, 17]"
"[2834, 4680]","[8, 4, 25, 2, 20]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[2795, 4740]","[8, 5, 15, 4, 30]"
"[2546, 3810]","[0, 6, 25, 0, 30]"
"[2420, 4220]","[14, 0, 25, 2, 0]"
"[3017, 5485]","[7, 7, 25, 3, 17]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2754, 5300]","[12, 4, 25, 4, 0]"
"[3130, 5120]","[9, 5, 25, 0, 30]"
"[2710, 4655]","[6, 5, 25, 3, 15]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2987, 5455]","[9, 7, 22, 0, 23]"
"[3180, 4875]","[15, 0, 25, 3, 25]"
"[2615, 4420]","[15, 0, 19, 4, 12]"
"[2350, 4510]","[7, 5, 25, 2, 0]"
"[2980, 4760]","[7, 5, 25, 0, 30]"
"[2770, 5430]","[11, 5, 25, 4, 0]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[3140, 4510]","[12, 0, 25, 4, 30]"
"[3178, 5510]","[6, 8, 25, 0, 30]"
"[3140, 4915]","[15, 0, 25, 4, 21]"
"[3127, 5750]","[8, 7, 25, 4, 16]"
"[2719, 4825]","[10, 4, 21, 3, 15]"
"[3116, 5090]","[6, 6, 25, 2, 30]"
"[2552, 4910]","[7, 7, 13, 4, 20]"
"[3065, 4330]","[11, 0, 25, 4, 30]"
"[3221, 5430]","[9, 6, 25, 0, 30]"
"[2486, 4030]","[0, 6, 25, 4, 18]"
"[2939, 5290]","[13, 4, 25, 0, 14]"
"[2870, 4625]","[15, 0, 25, 2, 15]"
"[2780, 3690]","[8, 0, 25, 3, 30]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[3114, 5350]","[14, 4, 19, 0, 30]"
"[2577, 4160]","[0, 7, 19, 4, 30]"
"[2503, 5240]","[7, 8, 25, 0, 0]"
"[2948, 4500]","[9, 3, 25, 0, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3077, 5480]","[8, 7, 17, 4, 30]"
"[2630, 3870]","[12, 0, 16, 3, 30]"
"[2587, 4780]","[8, 7, 12, 0, 30]"
"[2300, 4020]","[14, 0, 25, 0, 0]"
"[2559, 5155]","[5, 9, 13, 4, 19]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2813, 5350]","[14, 3, 25, 4, 0]"
"[2886, 5080]","[6, 6, 25, 4, 16]"
"[2665, 4315]","[14, 0, 19, 4, 17]"
"[2659, 5245]","[5, 9, 14, 4, 21]"
"[3520, 5880]","[11, 5, 25, 4, 30]"
"[3146, 5250]","[8, 6, 25, 0, 30]"
"[2725, 4275]","[14, 0, 25, 0, 17]"
"[3087, 5200]","[6, 7, 25, 0, 30]"
"[2964, 4630]","[8, 4, 25, 0, 30]"
"[3253, 5690]","[7, 8, 25, 0, 30]"
"[2955, 4530]","[15, 0, 18, 3, 30]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[3144, 5290]","[12, 4, 19, 3, 30]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2636, 5200]","[8, 6, 25, 4, 0]"
"[3105, 5360]","[12, 5, 20, 0, 30]"
"[3519, 5830]","[13, 4, 25, 3, 30]"
"[2561, 5020]","[7, 6, 25, 4, 0]"
"[3386, 5650]","[8, 6, 25, 4, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2695, 3900]","[0, 5, 25, 4, 30]"
"[2667, 5410]","[8, 7, 25, 3, 0]"
"[3237, 5560]","[8, 7, 25, 0, 30]"
"[3230, 4770]","[14, 0, 25, 3, 30]"
"[2778, 5030]","[6, 8, 17, 0, 30]"
"[2845, 4205]","[12, 0, 25, 2, 23]"
"[2690, 3970]","[12, 0, 16, 4, 30]"
"[2726, 4110]","[0, 6, 25, 3, 30]"
"[3055, 4940]","[8, 5, 25, 0, 30]"
"[2525, 3750]","[13, 0, 16, 0, 30]"
"[3336, 5890]","[10, 6, 25, 4, 22]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2317, 4615]","[7, 7, 10, 3, 19]"
"[2465, 4180]","[15, 0, 14, 4, 16]"
"[3519, 5830]","[13, 4, 25, 3, 30]"
"[3218, 5060]","[11, 3, 25, 2, 30]"
"[2742, 5590]","[9, 7, 25, 3, 0]"
"[2635, 3800]","[0, 5, 25, 3, 30]"
"[2630, 3330]","[6, 0, 25, 3, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2765, 4510]","[15, 0, 19, 4, 18]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[2469, 4840]","[11, 4, 22, 3, 0]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2690, 4870]","[0, 10, 17, 3, 30]"
"[2725, 3990]","[13, 0, 20, 0, 30]"
"[2501, 4290]","[5, 6, 13, 3, 30]"
"[2523, 4435]","[0, 8, 25, 2, 17]"
"[2605, 5210]","[12, 5, 25, 0, 0]"
"[2727, 4430]","[0, 7, 25, 4, 24]"
"[3226, 5625]","[9, 6, 25, 3, 23]"
"[2465, 3700]","[9, 0, 25, 4, 12]"
"[3140, 4510]","[12, 0, 25, 4, 30]"
"[2940, 5260]","[0, 10, 25, 3, 24]"
"[2665, 4210]","[15, 0, 11, 4, 30]"
"[2715, 4270]","[15, 0, 12, 4, 30]"
"[2525, 3930]","[15, 0, 13, 0, 30]"
"[2648, 4320]","[11, 3, 16, 0, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2575, 3700]","[0, 5, 25, 2, 30]"
"[2846, 5070]","[10, 6, 16, 0, 30]"
"[3043, 5550]","[7, 8, 16, 4, 30]"
"[2519, 4560]","[0, 9, 25, 0, 18]"
"[2500, 3600]","[10, 0, 25, 0, 20]"
"[3355, 5660]","[12, 5, 25, 0, 30]"
"[3280, 5480]","[11, 5, 25, 0, 30]"
"[3373, 5890]","[7, 8, 25, 2, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2789, 4930]","[11, 4, 25, 0, 14]"
"[2560, 4840]","[0, 10, 25, 0, 16]"
"[2814, 4270]","[6, 4, 25, 0, 30]"
"[2964, 4630]","[8, 4, 25, 0, 30]"
"[2530, 4835]","[12, 5, 14, 0, 19]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2419, 4960]","[13, 4, 18, 3, 0]"
"[3145, 5655]","[11, 5, 25, 4, 15]"
"[2955, 4350]","[13, 0, 21, 3, 30]"
"[2245, 3360]","[0, 5, 16, 4, 30]"
"[3071, 5070]","[7, 6, 25, 0, 30]"
"[3109, 5655]","[14, 4, 25, 2, 13]"
"[2280, 4350]","[0, 10, 10, 2, 30]"
"[2780, 4230]","[14, 0, 16, 3, 30]"
"[2865, 4450]","[15, 0, 15, 4, 30]"
"[2364, 3190]","[0, 4, 25, 0, 30]"
"[2750, 4155]","[13, 0, 25, 0, 21]"
"[2798, 5110]","[6, 8, 15, 2, 30]"
"[2798, 4680]","[13, 3, 16, 0, 30]"
"[3040, 4570]","[14, 0, 20, 4, 30]"
"[2621, 4350]","[5, 6, 19, 0, 30]"
"[2950, 4350]","[14, 0, 23, 0, 30]"
"[3294, 5290]","[10, 4, 25, 3, 30]"
"[2417, 4630]","[6, 7, 13, 3, 20]"
"[2875, 4500]","[15, 0, 25, 0, 20]"
"[3386, 5650]","[8, 6, 25, 4, 30]"
"[2273, 2880]","[0, 3, 25, 0, 30]"
"[2644, 4330]","[8, 4, 15, 3, 30]"
"[3280, 5480]","[11, 5, 25, 0, 30]"
"[2720, 4130]","[14, 0, 16, 2, 30]"
"[2820, 4460]","[14, 0, 25, 2, 16]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[3221, 5430]","[9, 6, 25, 0, 30]"
"[2182, 4440]","[9, 7, 0, 2, 30]"
"[2993, 5060]","[14, 3, 16, 2, 30]"
"[2575, 3630]","[11, 0, 20, 0, 30]"
"[3073, 5530]","[7, 8, 19, 2, 30]"
"[3477, 5960]","[8, 7, 25, 4, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[3034, 4950]","[10, 4, 21, 2, 30]"
"[3402, 5780]","[7, 7, 25, 4, 30]"
"[2773, 4740]","[14, 3, 14, 0, 30]"
"[2465, 4240]","[13, 0, 25, 4, 0]"
"[2439, 4340]","[0, 9, 15, 2, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3578, 5880]","[15, 3, 25, 3, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2565, 3220]","[5, 0, 25, 4, 28]"
"[2430, 3480]","[8, 0, 25, 3, 16]"
"[2817, 4420]","[0, 7, 25, 3, 30]"
"[3145, 5520]","[12, 5, 16, 4, 30]"
"[2816, 5045]","[7, 6, 25, 2, 15]"
"[2755, 4230]","[13, 0, 21, 3, 22]"
"[2727, 5510]","[8, 7, 25, 4, 0]"
"[2976, 5310]","[10, 6, 15, 3, 30]"
"[2586, 5320]","[10, 6, 21, 4, 0]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[2666, 4010]","[0, 6, 25, 2, 30]"
"[3155, 4770]","[15, 0, 22, 3, 30]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[2840, 3790]","[8, 0, 25, 4, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[3160, 5060]","[7, 5, 25, 3, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[2558, 4310]","[0, 8, 18, 3, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2930, 4590]","[14, 0, 25, 3, 18]"
"[2367, 4765]","[7, 7, 14, 3, 13]"
"[2880, 5000]","[11, 5, 17, 0, 30]"
"[2727, 4430]","[0, 7, 25, 4, 24]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2555, 4500]","[15, 0, 25, 3, 0]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[2600, 4215]","[15, 0, 21, 0, 17]"
"[2362, 3955]","[0, 7, 25, 0, 19]"
"[2600, 3390]","[8, 0, 25, 0, 30]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2915, 3970]","[9, 0, 25, 4, 30]"
"[2750, 4360]","[5, 5, 21, 2, 30]"
"[2505, 4280]","[8, 5, 14, 0, 30]"
"[3096, 5370]","[10, 6, 21, 0, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2250, 3045]","[7, 0, 25, 0, 19]"
"[2420, 4220]","[14, 0, 25, 2, 0]"
"[3145, 4980]","[6, 5, 25, 4, 30]"
"[3025, 5320]","[10, 5, 25, 2, 18]"
"[2895, 4370]","[13, 0, 25, 2, 22]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2550, 3960]","[14, 0, 18, 0, 24]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2321, 4620]","[7, 6, 25, 0, 0]"
"[2535, 4925]","[11, 5, 15, 3, 13]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2300, 4020]","[14, 0, 25, 0, 0]"
"[2886, 5230]","[10, 6, 12, 4, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2336, 4480]","[4, 6, 25, 4, 0]"
"[2710, 4520]","[7, 5, 16, 3, 30]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2480, 3690]","[12, 0, 13, 3, 30]"
"[2444, 4515]","[0, 9, 25, 0, 15]"
"[3202, 5660]","[7, 7, 25, 4, 22]"
"[2635, 3800]","[0, 5, 25, 3, 30]"
"[3477, 5960]","[8, 7, 25, 4, 30]"
"[3194, 5640]","[5, 9, 25, 0, 30]"
"[2803, 5150]","[7, 8, 16, 0, 30]"
"[2802, 5690]","[9, 7, 25, 4, 0]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2753, 4910]","[5, 8, 18, 0, 30]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[2176, 4620]","[8, 6, 17, 3, 0]"
"[3221, 5430]","[9, 6, 25, 0, 30]"
"[3205, 5300]","[10, 5, 25, 0, 30]"
"[2420, 3590]","[12, 0, 13, 2, 30]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
